element_type	ontology_name	reactome_schema_name	ontology_curie	note
slot	id	id	dcterms:identifier	
slot	category	type		Serialization support slot; usually excluded from ontology object model.
slot	name	name	rdfs:label	
slot	synonym	name	skos:altLabel	Derived from additional values in the multivalued source name field after the first value is promoted to name.
slot	description	description	dcterms:description	
slot	reactome_db_id	db_id	reactome:reactomeDbId	Administrative identifier; not intended as a biological identity relation.
slot	reactome_stable_identifier	stable_id	reactome:reactomeStableIdentifier	
slot	source_schema_class	schema_class	reactome:sourceSchemaClass	Source-schema provenance slot; usually excluded from ontology axioms.
slot	display_label	display_name	reactome:displayLabel	
slot	definition	definition	reactome:definition	
slot	systematic_name	systematic_name	reactome:systematicName	
slot	release_date	release_date	reactome:releaseDate	
slot	release_status	release_status	reactome:releaseStatus	
slot	is_inferred	inferred	reactome:isInferred	
slot	is_in_disease_context	in_disease	reactome:isInDiseaseContext	
slot	created	created	reactome:created	
slot	modified	modified	reactome:modified	
slot	reviewed	reviewed	reactome:reviewed	
slot	revised	revised	reactome:revised	
slot	authored	authored	reactome:authored	
slot	in_taxon	species	reactome:inTaxon	
slot	located_in_compartment	compartment	reactome:locatedInCompartment	
slot	has_summation	summation	reactome:hasSummation	
slot	supported_by	literature_reference	reactome:supportedBy	
slot	has_cross_reference	cross_reference	reactome:hasCrossReference	
slot	has_disease_context	disease	reactome:hasDiseaseContext	
slot	has_go_biological_process	go_biological_process	reactome:hasGoBiologicalProcess	
slot	has_go_cellular_component	go_cellular_component	reactome:hasGoCellularComponent	
slot	has_go_molecular_function	activity	reactome:hasGoMolecularFunction	
slot	has_event	has_event	reactome:hasEvent	
slot	preceded_by	preceding_event	reactome:precededBy	
slot	has_input	input	reactome:hasInput	
slot	has_output	output	reactome:hasOutput	
slot	requires_component	required_input_component	reactome:requiresComponent	
slot	has_catalyst_activity	catalyst_activity	reactome:hasCatalystActivity	
slot	has_regulation	regulated_by	reactome:hasRegulation	
slot	has_interacting_entity_on_other_cell	entity_on_other_cell	reactome:hasInteractingEntityOnOtherCell	
slot	has_interaction	has_interaction	reactome:hasInteraction	
slot	has_reaction_type	reaction_type	reactome:hasReactionType	
slot	has_reference_entity	reference_entity	reactome:hasReferenceEntity	
slot	has_modified_residue	has_modified_residue	reactome:hasModifiedResidue	
slot	start_coordinate	start_coordinate	reactome:startCoordinate	
slot	end_coordinate	end_coordinate	reactome:endCoordinate	
slot	sequence_reference_type	reference_type	reactome:sequenceReferenceType	
slot	has_component	has_component	reactome:hasComponent	
slot	has_member	has_member	reactome:hasMember	
slot	has_repeated_unit	repeated_unit	reactome:hasRepeatedUnit	
slot	has_regulator	regulator	reactome:hasRegulator	
slot	regulates	regulated_entity	reactome:regulates	
slot	has_active_unit	active_unit	reactome:hasActiveUnit	
slot	has_catalyst	physical_entity	reactome:hasCatalyst	
slot	catalyzes	catalyzed_event	reactome:catalyzes	
slot	has_reference_database	reference_database	reactome:hasReferenceDatabase	
slot	identifier	identifier	reactome:identifier	
slot	access_url	access_url	reactome:accessUrl	
slot	identifier_prefix	identifiers_prefix	reactome:identifierPrefix	
slot	resource_identifier	resource_identifier	reactome:resourceIdentifier	
slot	url	url	reactome:url	
slot	pubmed_id	pubmed_identifier	reactome:pubmedId	
slot	orcid	orcid_id	reactome:orcid	
slot	ncbi_taxon_id	tax_id	reactome:ncbiTaxonId	
slot	previous_stable_identifier	old_st_id	reactome:previousStableIdentifier	
class	named_entity	named_thing	reactome:NamedEntity	
class	database_object	database_object	reactome:DatabaseObject	
class	instance_edit	instance_edit	reactome:InstanceEdit	
class	publication	publication	reactome:Publication	
class	literature_reference	literature_reference	reactome:LiteratureReference	
class	person	person	reactome:Person	
class	summation	summation	reactome:Summation	
class	event	event	reactome:Event	
class	pathway	pathway	reactome:Pathway	
class	reaction_like_event	reaction_like_event	reactome:ReactionLikeEvent	
class	reaction	reaction	reactome:Reaction	
class	black_box_event	black_box_event	reactome:BlackBoxEvent	
class	polymerization	polymerisation	reactome:Polymerization	
class	depolymerization	depolymerisation	reactome:Depolymerization	
class	physical_entity	physical_entity	reactome:PhysicalEntity	
class	simple_entity	simple_entity	reactome:SimpleEntity	
class	genome_encoded_entity	genome_encoded_entity	reactome:GenomeEncodedEntity	
class	sequence_entity	entity_with_accessioned_sequence	reactome:SequenceEntity	
class	protein	entity_with_accessioned_sequence	reactome:Protein	
class	complex	complex	reactome:Complex	
class	entity_set	entity_set	reactome:EntitySet	
class	candidate_set	candidate_set	reactome:CandidateSet	
class	defined_set	defined_set	reactome:DefinedSet	
class	polymer	polymer	reactome:Polymer	
